tile_id,tile_name,boundary_name,boundary_class,include_for_cellseg1,nuclei_inside,nuclei_inside_in_tile,nuclei_names,stroma_overlap_px,stroma_overlap_fraction,flags
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_001","GT Clear cell boundary","true","1","1","P2_Nucleus_001","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_002","GT Clear cell boundary","true","1","1","P2_Nucleus_004","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_003","GT Clear cell boundary","true","1","1","P2_Nucleus_003","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_004","GT Clear cell boundary","true","1","1","P2_Nucleus_002","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_005","GT Clear cell boundary","true","1","1","P2_Nucleus_006","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_006","GT Clear cell boundary","true","1","1","P2_Nucleus_007","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_007","GT Clear cell boundary","true","1","1","P2_Nucleus_005","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_008","GT Clear cell boundary","true","1","1","P2_Nucleus_009","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_009","GT Clear cell boundary","true","1","1","P2_Nucleus_012","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_010","GT Clear cell boundary","true","1","1","P2_Nucleus_010","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_011","GT Clear cell boundary","true","1","1","P2_Nucleus_011","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_012","GT Clear cell boundary","true","1","1","P2_Nucleus_013","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_013","GT Clear cell boundary","true","1","1","P2_Nucleus_014","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_014","GT Clear cell boundary","true","1","1","P2_Nucleus_017","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_015","GT Clear cell boundary","true","1","1","P2_Nucleus_015","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_016","GT Clear cell boundary","true","1","1","P2_Nucleus_018","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_017","GT Clear cell boundary","true","1","1","P2_Nucleus_016","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_018","GT Clear cell boundary","true","1","1","P2_Nucleus_020","0.0","0.0000","OK"
"p2_tile_01","P2 tile 01","P2_ClearCellBoundary_019","GT Clear cell boundary","true","1","1","P2_Nucleus_019","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","P2_ClearCellBoundary_020","GT Clear cell boundary","true","1","1","P2_Nucleus_021","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_001","GT Clear cell boundary","true","1","1","T2_Nucleus_002","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_CompactCellBoundary_001","GT Compact cell boundary","true","1","1","T2_Nucleus_003","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_002","GT Clear cell boundary","true","1","1","T2_Nucleus_001","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_CompactCellBoundary_002","GT Compact cell boundary","true","1","1","T2_Nucleus_005","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_003","GT Clear cell boundary","true","1","1","T2_Nucleus_004","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_004","GT Clear cell boundary","true","1","1","T2_Nucleus_006","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_005","GT Clear cell boundary","true","1","1","T2_Nucleus_007","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_006","GT Clear cell boundary","true","1","1","T2_Nucleus_008","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_007","GT Clear cell boundary","true","1","1","T2_Nucleus_010","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_008","GT Clear cell boundary","true","1","1","T2_Nucleus_009","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_010","GT Clear cell boundary","true","1","1","T2_Nucleus_011","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_011","GT Clear cell boundary","true","1","1","T2_Nucleus_012","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_012","GT Clear cell boundary","true","1","1","T2_Nucleus_013","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_014","GT Clear cell boundary","true","1","1","T2_Nucleus_016","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_015","GT Clear cell boundary","true","1","1","T2_Nucleus_015","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_016","GT Clear cell boundary","true","1","1","T2_Nucleus_014","0.0","0.0000","OK"
"p2_tile_02","P2 tile 02","T2_ClearCellBoundary_017","GT Clear cell boundary","true","1","1","T2_Nucleus_017","48.5","0.0264","STROMA_OVERLAP"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_001","GT Clear cell boundary","true","1","1","T3_Nucleus_002","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_002","GT Clear cell boundary","true","1","1","T3_Nucleus_001","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_003","GT Clear cell boundary","true","1","1","T3_Nucleus_003","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_004","GT Clear cell boundary","true","1","1","T3_Nucleus_004","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_005","GT Clear cell boundary","true","1","1","T3_Nucleus_005","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_007","GT Clear cell boundary","true","1","1","T3_Nucleus_010","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_008","GT Clear cell boundary","true","1","1","T3_Nucleus_007","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_009","GT Clear cell boundary","true","1","1","T3_Nucleus_011","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_011","GT Clear cell boundary","true","1","1","T3_Nucleus_008","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_012","GT Clear cell boundary","true","1","1","T3_Nucleus_012","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_013","GT Clear cell boundary","true","1","1","T3_Nucleus_013","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_015","GT Clear cell boundary","true","1","1","T3_Nucleus_016","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_016","GT Clear cell boundary","true","1","1","T3_Nucleus_017","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_017","GT Clear cell boundary","true","1","1","T3_Nucleus_015","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_018","GT Clear cell boundary","true","1","1","T3_Nucleus_018","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_019","GT Clear cell boundary","true","1","1","T3_Nucleus_019","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_020","GT Clear cell boundary","true","1","1","T3_Nucleus_021","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_021","GT Clear cell boundary","true","1","1","T3_Nucleus_020","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_022","GT Clear cell boundary","true","1","1","T3_Nucleus_022","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_023","GT Clear cell boundary","true","1","1","T3_Nucleus_023","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_024","GT Clear cell boundary","true","1","1","T3_Nucleus_025","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_025","GT Clear cell boundary","true","1","1","T3_Nucleus_026","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_026","GT Clear cell boundary","true","1","1","T3_Nucleus_024","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_028","GT Clear cell boundary","true","1","1","T3_Nucleus_029","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_029","GT Clear cell boundary","true","1","1","T3_Nucleus_028","0.0","0.0000","OK"
"p2_tile_03","P2 tile 03","T3_ClearCellBoundary_030","GT Clear cell boundary","false","2","0","T3_Nucleus_030|T4_Nucleus_001","0.0","0.0000","MULTI_NUCLEI"
"p2_tile_04","P2 tile 04","T3_ClearCellBoundary_031","GT Clear cell boundary","false","2","2","T4_Nucleus_006|T3_Nucleus_033","0.0","0.0000","MULTI_NUCLEI"
"p2_tile_04","P2 tile 04","T3_ClearCellBoundary_032","GT Clear cell boundary","false","2","2","T4_Nucleus_003|T3_Nucleus_031","0.0","0.0000","MULTI_NUCLEI"
