instance_label,boundary_name,boundary_class,nucleus_name,boundary_area_px,local_centroid_x,local_centroid_y,wsi_centroid_x,wsi_centroid_y,nucleus_wsi_x,nucleus_wsi_y,stroma_overlap_px,stroma_overlap_fraction
1,HCT002_CompactCellBoundary_001,GT Compact cell boundary,,1142.0,459.1,33.2,,,,,0.0,0.0000
2,HCT002_CompactCellBoundary_002,GT Compact cell boundary,,719.0,306.5,64.4,,,,,0.0,0.0000
3,HCT002_CompactCellBoundary_003,GT Compact cell boundary,,1280.0,472.7,77.9,,,,,0.0,0.0000
4,HCT002_CompactCellBoundary_004,GT Compact cell boundary,,713.0,402.7,74.6,,,,,0.0,0.0000
5,HCT002_CompactCellBoundary_005,GT Compact cell boundary,,692.0,258.0,75.5,,,,,0.0,0.0000
6,HCT002_CompactCellBoundary_006,GT Compact cell boundary,,558.0,376.1,72.1,,,,,0.0,0.0000
7,HCT002_CompactCellBoundary_007,GT Compact cell boundary,,408.0,330.1,74.1,,,,,0.0,0.0000
8,HCT002_CompactCellBoundary_008,GT Compact cell boundary,,536.0,282.5,86.8,,,,,0.0,0.0000
9,HCT002_CompactCellBoundary_009,GT Compact cell boundary,,516.0,307.6,88.8,,,,,0.0,0.0000
10,HCT002_CompactCellBoundary_010,GT Compact cell boundary,,1241.0,441.2,104.0,,,,,0.0,0.0000
11,HCT002_CompactCellBoundary_011,GT Compact cell boundary,,607.0,354.4,95.3,,,,,0.0,0.0000
12,HCT002_CompactCellBoundary_012,GT Compact cell boundary,,304.0,379.0,97.0,,,,,0.0,0.0000
13,HCT002_CompactCellBoundary_013,GT Compact cell boundary,,748.0,413.1,106.0,,,,,0.0,0.0000
14,HCT002_CompactCellBoundary_014,GT Compact cell boundary,,455.0,399.8,128.4,,,,,0.0,0.0000
15,HCT002_CompactCellBoundary_015,GT Compact cell boundary,,1409.0,443.4,147.9,,,,,0.0,0.0000
16,HCT002_CompactCellBoundary_016,GT Compact cell boundary,,480.0,411.8,143.9,,,,,0.0,0.0000
17,HCT002_CompactCellBoundary_017,GT Compact cell boundary,,909.0,479.1,170.0,,,,,0.0,0.0000
18,HCT002_CompactCellBoundary_018,GT Compact cell boundary,,753.0,400.3,172.8,,,,,0.0,0.0000
19,HCT002_CompactCellBoundary_019,GT Compact cell boundary,,471.0,419.3,178.0,,,,,0.0,0.0000
20,HCT002_CompactCellBoundary_020,GT Compact cell boundary,,978.0,443.7,182.8,,,,,0.0,0.0000
21,HCT002_CompactCellBoundary_021,GT Compact cell boundary,,1151.0,443.1,220.1,,,,,0.0,0.0000
22,HCT002_CompactCellBoundary_022,GT Compact cell boundary,,1260.0,427.4,271.9,,,,,0.0,0.0000
23,HCT002_CompactCellBoundary_023,GT Compact cell boundary,,572.0,391.6,287.7,,,,,0.0,0.0000
24,HCT002_CompactCellBoundary_024,GT Compact cell boundary,,590.0,400.3,308.1,,,,,0.0,0.0000
25,HCT002_CompactCellBoundary_025,GT Compact cell boundary,,312.0,424.4,303.1,,,,,0.0,0.0000
26,HCT002_CompactCellBoundary_026,GT Compact cell boundary,,530.0,373.3,311.9,,,,,0.0,0.0000
27,HCT002_CompactCellBoundary_027,GT Compact cell boundary,,1199.0,342.8,319.6,,,,,0.0,0.0000
28,HCT002_CompactCellBoundary_028,GT Compact cell boundary,,341.0,309.1,315.7,,,,,0.0,0.0000
29,HCT002_CompactCellBoundary_029,GT Compact cell boundary,,320.0,414.5,320.0,,,,,0.0,0.0000
30,HCT002_CompactCellBoundary_030,GT Compact cell boundary,,695.0,425.1,338.0,,,,,0.0,0.0000
31,HCT002_CompactCellBoundary_031,GT Compact cell boundary,,688.0,307.5,334.5,,,,,0.0,0.0000
32,HCT002_CompactCellBoundary_032,GT Compact cell boundary,,765.0,367.5,337.5,,,,,0.0,0.0000
33,HCT002_CompactCellBoundary_033,GT Compact cell boundary,,734.0,405.0,348.9,,,,,0.0,0.0000
