instance_label,boundary_name,boundary_class,nucleus_name,boundary_area_px,local_centroid_x,local_centroid_y,wsi_centroid_x,wsi_centroid_y,nucleus_wsi_x,nucleus_wsi_y,stroma_overlap_px,stroma_overlap_fraction
"1","T16_ClearCellBoundary_003","GT Clear cell boundary","T16_Nucleus_003","8458.2","78.5","42.9","37100.5","46245.9","37110.5","46245.5","0.0","0.0000"
"2","T16_ClearCellBoundary_004","GT Clear cell boundary","T16_Nucleus_006","3652.0","241.6","57.1","37263.6","46260.1","37272.0","46282.0","0.0","0.0000"
"3","T16_ClearCellBoundary_005","GT Clear cell boundary","T16_Nucleus_004","1310.5","372.1","59.4","37394.1","46262.4","37388.5","46266.5","0.0","0.0000"
"4","T16_CompactCellBoundary_001","GT Compact cell boundary","T16_Nucleus_007","2338.5","421.5","66.7","37443.5","46269.7","37420.0","46290.0","0.0","0.0000"
"5","T16_CompactCellBoundary_002","GT Compact cell boundary","T16_Nucleus_005","2331.5","288.7","70.6","37310.7","46273.6","37293.5","46281.5","0.0","0.0000"
"6","T16_ClearCellBoundary_006","GT Clear cell boundary","T16_Nucleus_010","10020.0","164.2","71.6","37186.2","46274.6","37189.0","46309.0","0.0","0.0000"
"7","T16_CompactCellBoundary_003","GT Compact cell boundary","T16_Nucleus_008","1731.0","353.5","91.3","37375.5","46294.3","37376.5","46297.5","0.0","0.0000"
"8","T16_ClearCellBoundary_007","GT Clear cell boundary","T16_Nucleus_009","4129.0","43.2","105.4","37065.2","46308.4","37074.0","46303.5","0.0","0.0000"
"9","T16_CompactCellBoundary_004","GT Compact cell boundary","T16_Nucleus_011","1689.5","309.6","114.0","37331.6","46317.0","37327.5","46314.5","0.0","0.0000"
"10","T16_ClearCellBoundary_008","GT Clear cell boundary","T16_Nucleus_013","5548.0","431.3","117.6","37453.3","46320.6","37461.5","46330.0","0.0","0.0000"
"11","T16_CompactCellBoundary_005","GT Compact cell boundary","T16_Nucleus_016","1550.5","339.4","135.1","37361.4","46338.1","37355.0","46345.0","0.0","0.0000"
"12","T16_CompactCellBoundary_006","GT Compact cell boundary","T16_Nucleus_014","1175.0","251.2","135.3","37273.2","46338.3","37276.0","46334.0","0.0","0.0000"
"13","T16_CompactCellBoundary_007","GT Compact cell boundary","T16_Nucleus_012","1938.0","279.7","145.0","37301.7","46348.0","37299.0","46328.5","0.0","0.0000"
"14","T16_ClearCellBoundary_009","GT Clear cell boundary","T16_Nucleus_015","2973.0","77.8","147.3","37099.8","46350.3","37100.0","46338.0","0.0","0.0000"
"15","T16_ClearCellBoundary_010","GT Clear cell boundary","T16_Nucleus_018","4814.1","228.6","153.5","37250.6","46356.5","37251.5","46356.0","0.0","0.0000"
"16","T16_CompactCellBoundary_008","GT Compact cell boundary","T16_Nucleus_020","1844.5","315.8","176.0","37337.8","46379.0","37337.5","46391.0","0.0","0.0000"
"17","T16_ClearCellBoundary_011","GT Clear cell boundary","T16_Nucleus_017","7476.5","151.5","176.6","37173.5","46379.6","37204.0","46353.5","0.0","0.0000"
"18","T16_CompactCellBoundary_009","GT Compact cell boundary","T16_Nucleus_022","785.0","55.5","191.7","37077.5","46394.7","37080.5","46401.0","0.0","0.0000"
"19","T16_CompactCellBoundary_010","GT Compact cell boundary","T16_Nucleus_021","428.0","80.6","194.1","37102.6","46397.1","37108.5","46394.5","0.0","0.0000"
"20","T16_ClearCellBoundary_013","GT Clear cell boundary","T16_Nucleus_024","12263.7","381.6","206.5","37403.6","46409.5","37342.0","46424.5","0.0","0.0000"
"21","T16_CompactCellBoundary_011","GT Compact cell boundary","T16_Nucleus_023","455.3","96.9","208.2","37118.9","46411.2","37116.5","46408.0","0.0","0.0000"
"22","T16_ClearCellBoundary_014","GT Clear cell boundary","T16_Nucleus_027","4853.3","57.8","246.7","37079.8","46449.7","37078.5","46484.0","0.0","0.0000"
"23","T16_ClearCellBoundary_015","GT Clear cell boundary","T16_Nucleus_025","8436.5","253.5","259.3","37275.5","46462.3","37312.5","46441.0","0.0","0.0000"
"24","T16_ClearCellBoundary_016","GT Clear cell boundary","T16_Nucleus_028","3555.5","114.0","269.6","37136.0","46472.6","37136.0","46500.0","0.0","0.0000"
"25","T16_ClearCellBoundary_018","GT Clear cell boundary","T16_Nucleus_026","5870.0","335.5","290.1","37357.5","46493.1","37348.5","46472.0","0.0","0.0000"
"26","T16_ClearCellBoundary_019","GT Clear cell boundary","T16_Nucleus_031","5252.0","441.0","307.7","37463.0","46510.7","37472.5","46524.5","0.0","0.0000"
"27","T16_ClearCellBoundary_020","GT Clear cell boundary","T16_Nucleus_030","9054.5","164.8","326.0","37186.8","46529.0","37155.5","46522.0","0.0","0.0000"
"28","T16_ClearCellBoundary_021","GT Clear cell boundary","T16_Nucleus_034","10873.5","68.6","365.3","37090.6","46568.3","37092.0","46602.5","0.0","0.0000"
"29","T16_ClearCellBoundary_022","GT Clear cell boundary","T16_Nucleus_033","5187.0","462.9","377.8","37484.9","46580.8","37484.0","46580.5","0.0","0.0000"
"30","T16_CompactCellBoundary_013","GT Compact cell boundary","T16_Nucleus_036","4264.5","151.7","411.2","37173.7","46614.2","37175.5","46622.5","0.0","0.0000"
"31","T16_CompactCellBoundary_014","GT Compact cell boundary","T16_Nucleus_038","2428.0","432.9","427.6","37454.9","46630.6","37460.5","46629.0","0.0","0.0000"
"32","T16_CompactCellBoundary_015","GT Compact cell boundary","T16_Nucleus_040","2711.5","238.4","428.6","37260.4","46631.6","37259.0","46636.0","0.0","0.0000"
"33","T16_CompactCellBoundary_017","GT Compact cell boundary","T16_Nucleus_042","2228.5","485.2","447.6","37507.2","46650.6","37510.0","46650.5","0.0","0.0000"
"34","T16_ClearCellBoundary_024","GT Clear cell boundary","T16_Nucleus_043","3803.0","54.1","467.0","37076.1","46670.0","37072.5","46690.0","0.0","0.0000"
"35","T16_CompactCellBoundary_018","GT Compact cell boundary","T16_Nucleus_044","1111.3","346.3","497.9","37368.3","46700.9","37370.5","46699.5","0.0","0.0000"
"36","T16_CompactCellBoundary_019","GT Compact cell boundary","T16_Nucleus_045","1468.0","458.8","502.2","37480.8","46705.2","37469.0","46714.5","0.0","0.0000"
