instance_label,boundary_name,boundary_class,nucleus_name,boundary_area_px,local_centroid_x,local_centroid_y,wsi_centroid_x,wsi_centroid_y,nucleus_wsi_x,nucleus_wsi_y,stroma_overlap_px,stroma_overlap_fraction
"1","yolo_T23_ClearCellBoundary_002","GT Clear cell boundary","yolo_T23_Nucleus_004","2225.5","194.7","37.6","35042.7","44433.6","35030.9","44429.9","0.0","0.0000"
"2","yolo_T23_ClearCellBoundary_003","GT Clear cell boundary","yolo_T23_Nucleus_002","12591.5","402.6","57.5","35250.6","44453.5","35245.0","44398.0","0.0","0.0000"
"3","yolo_T23_CompactCellBoundary_002","GT Compact cell boundary","yolo_T23_Nucleus_006","9367.5","219.3","105.5","35067.3","44501.5","35067.3","44526.6","0.0","0.0000"
"4","yolo_T23_CompactCellBoundary_003","GT Compact cell boundary","yolo_T23_Nucleus_005","2884.5","26.0","115.0","34874.0","44511.0","34863.5","44511.0","0.0","0.0000"
"5","yolo_T23_CompactCellBoundary_004","GT Compact cell boundary","yolo_T23_Nucleus_007","3422.4","392.0","141.9","35240.0","44537.9","35232.2","44542.0","0.0","0.0000"
"6","yolo_T23_ClearCellBoundary_004","GT Clear cell boundary","yolo_T23_Nucleus_008","7124.0","291.2","150.9","35139.2","44546.9","35134.2","44584.0","0.0","0.0000"
"7","yolo_T23_ClearCellBoundary_005","GT Clear cell boundary","yolo_T23_Nucleus_009","4352.8","496.5","169.0","35344.5","44565.0","35341.2","44586.8","0.0","0.0000"
"8","yolo_T23_CompactCellBoundary_005","GT Compact cell boundary","yolo_T23_Nucleus_010","4231.0","203.2","197.0","35051.2","44593.0","35029.5","44603.5","0.0","0.0000"
"9","yolo_T23_ClearCellBoundary_006","GT Clear cell boundary","yolo_T23_Nucleus_011","10297.0","408.7","211.0","35256.7","44607.0","35262.8","44630.3","0.0","0.0000"
"10","yolo_T23_CompactCellBoundary_006","GT Compact cell boundary","yolo_T23_Nucleus_013","2561.0","101.0","248.3","34949.0","44644.3","34960.6","44638.9","0.0","0.0000"
"11","yolo_T23_ClearCellBoundary_007","GT Clear cell boundary","yolo_T23_Nucleus_014","7072.5","356.2","285.4","35204.2","44681.4","35260.5","44680.5","0.0","0.0000"
"12","yolo_T23_CompactCellBoundary_008","GT Compact cell boundary","yolo_T23_Nucleus_015","755.5","5.8","359.4","34853.8","44755.4","34856.0","44753.0","0.0","0.0000"
"13","yolo_T23_ClearCellBoundary_008","GT Clear cell boundary","yolo_T23_Nucleus_016","4479.5","258.6","363.4","35106.6","44759.4","35086.7","44763.7","0.0","0.0000"
"14","yolo_T23_CompactCellBoundary_009","GT Compact cell boundary","yolo_T23_Nucleus_017","3712.5","180.3","375.1","35028.3","44771.1","35045.0","44770.5","0.0","0.0000"
"15","yolo_T23_UncertainCellBoundary_008","GT Clear cell boundary","","24323.0","411.7","376.0","35259.7","44772.0","35281.0","44714.5","0.0","0.0000"
"16","yolo_T23_CompactCellBoundary_010","GT Compact cell boundary","yolo_T23_Nucleus_019","787.5","12.4","394.3","34860.4","44790.3","34854.5","44794.0","0.0","0.0000"
"17","yolo_T23_CompactCellBoundary_011","GT Compact cell boundary","yolo_T23_Nucleus_018","3895.0","72.2","405.5","34920.2","44801.5","34932.5","44785.5","0.0","0.0000"
"18","yolo_T23_ClearCellBoundary_009","GT Clear cell boundary","yolo_T23_Nucleus_021","4573.5","276.2","417.7","35124.2","44813.7","35094.5","44830.0","0.0","0.0000"
"19","yolo_T23_CompactCellBoundary_012","GT Compact cell boundary","yolo_T23_Nucleus_020","992.0","11.3","426.0","34859.3","44822.0","34853.0","44820.5","0.0","0.0000"
"20","yolo_T23_ClearCellBoundary_010","GT Clear cell boundary","yolo_T23_Nucleus_022","4289.5","300.4","471.4","35148.4","44867.4","35177.5","44832.0","0.0","0.0000"
"21","yolo_T23_ClearCellBoundary_011","GT Clear cell boundary","yolo_T23_Nucleus_024","4785.0","221.8","475.4","35069.8","44871.4","35041.5","44865.5","0.0","0.0000"
"22","yolo_T23_ClearCellBoundary_012","GT Clear cell boundary","yolo_T23_Nucleus_025","3216.0","141.8","482.2","34989.8","44878.2","34990.1","44880.2","0.0","0.0000"
