instance_label,boundary_name,boundary_class,nucleus_name,boundary_area_px,local_centroid_x,local_centroid_y,wsi_centroid_x,wsi_centroid_y,nucleus_wsi_x,nucleus_wsi_y,stroma_overlap_px,stroma_overlap_fraction
"1","T14_ClearCellBoundary_002","GT Clear cell boundary","T14_Nucleus_004","2686.0","368.4","7.2","37902.4","45186.2","37899.0","45192.0","0.0","0.0000"
"2","T14_ClearCellBoundary_004","GT Clear cell boundary","T14_Nucleus_005","2140.5","459.5","25.8","37993.5","45204.8","37988.0","45215.0","0.0","0.0000"
"3","T14_ClearCellBoundary_005","GT Clear cell boundary","T14_Nucleus_007","2693.0","410.1","44.6","37944.1","45223.6","37925.0","45234.5","0.0","0.0000"
"4","T14_CompactCellBoundary_002","GT Compact cell boundary","T14_Nucleus_006","1352.5","192.2","46.4","37726.2","45225.4","37726.5","45230.0","0.0","0.0000"
"5","T14_ClearCellBoundary_006","GT Clear cell boundary","T14_Nucleus_008","2655.0","335.9","72.3","37869.9","45251.3","37873.0","45244.0","0.0","0.0000"
"6","T14_ClearCellBoundary_007","GT Clear cell boundary","T14_Nucleus_009","1976.0","447.4","88.3","37981.4","45267.3","37987.0","45263.0","0.0","0.0000"
"7","T14_ClearCellBoundary_008","GT Clear cell boundary","T14_Nucleus_010","3244.0","68.6","97.6","37602.6","45276.6","37609.0","45273.0","0.0","0.0000"
"8","T14_ClearCellBoundary_009","GT Clear cell boundary","T14_Nucleus_011","2441.0","408.5","103.8","37942.5","45282.8","37940.5","45278.0","0.0","0.0000"
"9","T14_ClearCellBoundary_010","GT Clear cell boundary","T14_Nucleus_013","4599.5","133.5","111.0","37667.5","45290.0","37674.0","45304.0","0.0","0.0000"
"10","T14_ClearCellBoundary_011","GT Clear cell boundary","T14_Nucleus_012","2279.5","349.6","113.5","37883.6","45292.5","37864.5","45286.0","0.0","0.0000"
"11","T14_ClearCellBoundary_012","GT Clear cell boundary","T14_Nucleus_014","3126.5","251.4","114.7","37785.4","45293.7","37799.5","45304.0","0.0","0.0000"
"12","T14_ClearCellBoundary_013","GT Clear cell boundary","T14_Nucleus_015","3906.5","76.6","153.4","37610.6","45332.4","37629.0","45321.0","0.0","0.0000"
"13","T14_CompactCellBoundary_003","GT Compact cell boundary","T14_Nucleus_017","2439.0","348.2","154.6","37882.2","45333.6","37883.5","45335.5","0.0","0.0000"
"14","T14_CompactCellBoundary_004","GT Compact cell boundary","T14_Nucleus_018","608.0","20.8","164.4","37554.8","45343.4","37555.5","45346.5","0.0","0.0000"
"15","T14_ClearCellBoundary_014","GT Clear cell boundary","T14_Nucleus_019","2825.5","291.1","167.8","37825.1","45346.8","37812.0","45356.5","0.0","0.0000"
"16","T14_CompactCellBoundary_005","GT Compact cell boundary","T14_Nucleus_022","2334.3","80.0","213.8","37614.0","45392.8","37628.0","45393.5","0.0","0.0000"
