instance_label,boundary_name,boundary_class,nucleus_name,boundary_area_px,local_centroid_x,local_centroid_y,wsi_centroid_x,wsi_centroid_y,nucleus_wsi_x,nucleus_wsi_y,stroma_overlap_px,stroma_overlap_fraction
"1","","GT Clear cell boundary","","4405.5","244.4","34.3","34068.4","44942.3","34047.0","44939.5","0.0","0.0000"
"2","","GT Clear cell boundary","yolo_0016","11008.5","75.1","63.4","33899.1","44971.4","33892.8","44925.6","0.0","0.0000"
"3","","GT Clear cell boundary","","5112.0","25.6","118.6","33849.6","45026.6","33834.5","44985.5","0.0","0.0000"
"4","","GT Clear cell boundary","yolo_0013","3997.5","444.6","136.4","34268.6","45044.4","34265.1","45044.0","0.5","0.0001"
"5","","GT Clear cell boundary","","2863.0","208.5","152.3","34032.5","45060.3","34024.5","45067.5","0.0","0.0000"
"6","","GT Clear cell boundary","","6491.0","50.5","196.3","33874.5","45104.3","33912.0","45087.0","0.0","0.0000"
"7","","GT Clear cell boundary","","12112.5","171.6","202.4","33995.6","45110.4","33931.0","45098.5","0.0","0.0000"
"8","","GT Clear cell boundary","yolo_0017","9120.0","390.4","236.0","34214.4","45144.0","34256.1","45132.9","0.0","0.0000"
"9","","GT Clear cell boundary","","7262.0","55.9","271.9","33879.9","45179.9","33920.0","45153.5","0.0","0.0000"
"10","","GT Clear cell boundary","yolo_0018","11196.5","164.7","301.9","33988.7","45209.9","33961.5","45236.5","0.0","0.0000"
"11","yolo_0009","GT Clear cell boundary","yolo_0025","4778.3","347.8","318.0","34171.8","45226.0","34204.6","45209.4","0.0","0.0000"
"12","","GT Clear cell boundary","yolo_0005","9409.0","63.3","364.4","33887.3","45272.4","33879.7","45244.9","0.0","0.0000"
"13","","GT Clear cell boundary","yolo_0007","4113.0","43.6","427.7","33867.6","45335.7","33846.6","45317.0","0.0","0.0000"
"14","","GT Clear cell boundary","","5807.5","182.2","429.5","34006.2","45337.5","34024.0","45349.0","0.0","0.0000"
"15","","GT Clear cell boundary","yolo_0029","2327.5","28.0","470.6","33852.0","45378.6","33835.9","45367.4","0.0","0.0000"
"16","","GT Clear cell boundary","","4435.5","379.8","493.2","34203.8","45401.2","34213.5","45371.5","0.0","0.0000"
