tile_id,tile_name,instance_label,boundary_name,boundary_class,nucleus_name,boundary_area_px,local_centroid_x,local_centroid_y,wsi_centroid_x,wsi_centroid_y,nucleus_wsi_x,nucleus_wsi_y,stroma_overlap_px,stroma_overlap_fraction
human_compact_tile_001,Human compact tile 001,1,HCT001_ClearCellBoundary_001,GT Clear cell boundary,,1671.0,104.8,414.0,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,2,HCT001_ClearCellBoundary_002,GT Clear cell boundary,,843.0,31.0,423.8,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,3,HCT001_ClearCellBoundary_003,GT Clear cell boundary,,6062.0,77.9,470.0,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,4,HCT001_CompactCellBoundary_001,GT Compact cell boundary,,488.0,62.1,8.7,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,5,HCT001_CompactCellBoundary_002,GT Compact cell boundary,,447.0,84.1,19.0,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,6,HCT001_CompactCellBoundary_003,GT Compact cell boundary,,1330.0,265.7,30.1,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,7,HCT001_CompactCellBoundary_004,GT Compact cell boundary,,692.0,465.0,29.0,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,8,HCT001_CompactCellBoundary_005,GT Compact cell boundary,,1019.0,43.4,26.8,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,9,HCT001_CompactCellBoundary_006,GT Compact cell boundary,,1106.0,359.4,38.4,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,10,HCT001_CompactCellBoundary_007,GT Compact cell boundary,,516.0,176.8,37.7,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,11,HCT001_CompactCellBoundary_008,GT Compact cell boundary,,518.0,88.8,38.5,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,12,HCT001_CompactCellBoundary_009,GT Compact cell boundary,,621.0,480.8,45.7,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,13,HCT001_CompactCellBoundary_010,GT Compact cell boundary,,431.0,152.8,42.8,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,14,HCT001_CompactCellBoundary_011,GT Compact cell boundary,,1754.0,393.1,57.1,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,15,HCT001_CompactCellBoundary_012,GT Compact cell boundary,,642.0,253.0,53.5,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,16,HCT001_CompactCellBoundary_013,GT Compact cell boundary,,955.0,61.4,57.0,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,17,HCT001_CompactCellBoundary_014,GT Compact cell boundary,,947.0,321.4,61.8,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,18,HCT001_CompactCellBoundary_015,GT Compact cell boundary,,439.0,118.8,61.7,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,19,HCT001_CompactCellBoundary_016,GT Compact cell boundary,,1004.0,161.3,65.6,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,20,HCT001_CompactCellBoundary_017,GT Compact cell boundary,,555.0,230.8,67.6,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,21,HCT001_CompactCellBoundary_018,GT Compact cell boundary,,713.0,456.7,72.7,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,22,HCT001_CompactCellBoundary_019,GT Compact cell boundary,,700.0,350.0,69.4,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,23,HCT001_CompactCellBoundary_020,GT Compact cell boundary,,712.0,207.2,74.2,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,24,HCT001_CompactCellBoundary_021,GT Compact cell boundary,,982.0,380.3,85.9,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,25,HCT001_CompactCellBoundary_022,GT Compact cell boundary,,575.0,57.2,78.9,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,26,HCT001_CompactCellBoundary_023,GT Compact cell boundary,,435.0,190.0,86.9,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,27,HCT001_CompactCellBoundary_024,GT Compact cell boundary,,1791.0,157.9,100.6,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,28,HCT001_CompactCellBoundary_025,GT Compact cell boundary,,1332.0,336.2,89.1,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,29,HCT001_CompactCellBoundary_026,GT Compact cell boundary,,685.0,483.9,94.4,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,30,HCT001_CompactCellBoundary_027,GT Compact cell boundary,,1035.0,440.7,102.7,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,31,HCT001_CompactCellBoundary_028,GT Compact cell boundary,,404.0,124.3,98.8,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,32,HCT001_CompactCellBoundary_029,GT Compact cell boundary,,812.0,275.3,109.9,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,33,HCT001_CompactCellBoundary_030,GT Compact cell boundary,,536.0,111.4,114.4,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,34,HCT001_CompactCellBoundary_031,GT Compact cell boundary,,1155.0,464.1,120.6,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,35,HCT001_CompactCellBoundary_032,GT Compact cell boundary,,1053.0,301.8,130.8,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,36,HCT001_CompactCellBoundary_033,GT Compact cell boundary,,439.0,401.8,124.2,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,37,HCT001_CompactCellBoundary_034,GT Compact cell boundary,,1091.0,248.9,130.4,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,38,HCT001_CompactCellBoundary_035,GT Compact cell boundary,,1248.0,430.9,138.2,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,39,HCT001_CompactCellBoundary_036,GT Compact cell boundary,,1219.0,57.2,138.3,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,40,HCT001_CompactCellBoundary_037,GT Compact cell boundary,,655.0,372.6,145.4,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,41,HCT001_CompactCellBoundary_038,GT Compact cell boundary,,716.0,157.5,147.5,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,42,HCT001_CompactCellBoundary_039,GT Compact cell boundary,,505.0,318.8,145.5,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,43,HCT001_CompactCellBoundary_040,GT Compact cell boundary,,666.0,129.4,150.3,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,44,HCT001_CompactCellBoundary_041,GT Compact cell boundary,,449.0,92.9,153.1,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,45,HCT001_CompactCellBoundary_042,GT Compact cell boundary,,597.0,173.2,161.7,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,46,HCT001_CompactCellBoundary_043,GT Compact cell boundary,,518.0,343.1,159.9,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,47,HCT001_CompactCellBoundary_044,GT Compact cell boundary,,4087.0,376.0,201.6,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,48,HCT001_CompactCellBoundary_045,GT Compact cell boundary,,1298.0,312.5,169.6,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,49,HCT001_CompactCellBoundary_046,GT Compact cell boundary,,726.0,141.4,172.5,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,50,HCT001_CompactCellBoundary_047,GT Compact cell boundary,,820.0,399.5,175.7,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,51,HCT001_CompactCellBoundary_048,GT Compact cell boundary,,1026.0,36.9,180.5,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,52,HCT001_CompactCellBoundary_049,GT Compact cell boundary,,632.0,337.1,187.1,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,53,HCT001_CompactCellBoundary_050,GT Compact cell boundary,,885.0,234.5,190.8,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,54,HCT001_CompactCellBoundary_051,GT Compact cell boundary,,570.0,465.3,195.8,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,55,HCT001_CompactCellBoundary_052,GT Compact cell boundary,,803.0,190.8,209.1,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,56,HCT001_CompactCellBoundary_053,GT Compact cell boundary,,763.0,133.1,204.3,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,57,HCT001_CompactCellBoundary_054,GT Compact cell boundary,,782.0,300.9,201.9,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,58,HCT001_CompactCellBoundary_055,GT Compact cell boundary,,945.0,488.8,209.7,,,,,0.0,0.0000
human_compact_tile_001,Human compact tile 001,59,HCT001_CompactCellBoundary_056,GT Compact cell boundary,,1013.0,103.7,212.1,,,,,0.0,0.0000
