instance_label,boundary_name,boundary_class,nucleus_name,boundary_area_px,local_centroid_x,local_centroid_y,wsi_centroid_x,wsi_centroid_y,nucleus_wsi_x,nucleus_wsi_y,stroma_overlap_px,stroma_overlap_fraction
1,HCT005_CompactCellBoundary_001,GT Compact cell boundary,,1418.0,291.7,23.2,,,,,0.0,0.0000
2,HCT005_CompactCellBoundary_002,GT Compact cell boundary,,736.0,240.0,23.1,,,,,0.0,0.0000
3,HCT005_CompactCellBoundary_003,GT Compact cell boundary,,698.0,277.5,39.3,,,,,0.0,0.0000
4,HCT005_CompactCellBoundary_004,GT Compact cell boundary,,598.0,379.6,43.4,,,,,0.0,0.0000
5,HCT005_CompactCellBoundary_005,GT Compact cell boundary,,409.0,429.0,40.7,,,,,0.0,0.0000
6,HCT005_CompactCellBoundary_006,GT Compact cell boundary,,403.0,413.7,52.2,,,,,0.0,0.0000
7,HCT005_CompactCellBoundary_007,GT Compact cell boundary,,1025.0,320.2,59.4,,,,,0.0,0.0000
8,HCT005_CompactCellBoundary_008,GT Compact cell boundary,,700.0,373.5,73.5,,,,,0.0,0.0000
9,HCT005_CompactCellBoundary_009,GT Compact cell boundary,,929.0,349.0,77.2,,,,,0.0,0.0000
10,HCT005_CompactCellBoundary_010,GT Compact cell boundary,,507.0,393.7,67.4,,,,,0.0,0.0000
11,HCT005_CompactCellBoundary_011,GT Compact cell boundary,,822.0,297.2,79.5,,,,,0.0,0.0000
12,HCT005_CompactCellBoundary_012,GT Compact cell boundary,,807.0,471.8,86.3,,,,,0.0,0.0000
13,HCT005_CompactCellBoundary_013,GT Compact cell boundary,,1364.0,419.0,95.0,,,,,0.0,0.0000
14,HCT005_CompactCellBoundary_014,GT Compact cell boundary,,1308.0,326.6,104.5,,,,,0.0,0.0000
15,HCT005_CompactCellBoundary_015,GT Compact cell boundary,,511.0,268.9,91.9,,,,,0.0,0.0000
16,HCT005_CompactCellBoundary_016,GT Compact cell boundary,,636.0,288.7,111.5,,,,,0.0,0.0000
17,HCT005_CompactCellBoundary_017,GT Compact cell boundary,,372.0,350.7,112.2,,,,,0.0,0.0000
18,HCT005_CompactCellBoundary_018,GT Compact cell boundary,,1461.0,300.4,136.6,,,,,0.0,0.0000
19,HCT005_CompactCellBoundary_019,GT Compact cell boundary,,960.0,339.8,142.3,,,,,0.0,0.0000
20,HCT005_CompactCellBoundary_020,GT Compact cell boundary,,578.0,465.8,164.8,,,,,0.0,0.0000
21,HCT005_CompactCellBoundary_021,GT Compact cell boundary,,961.0,382.0,168.0,,,,,0.0,0.0000
22,HCT005_CompactCellBoundary_022,GT Compact cell boundary,,611.0,297.5,167.3,,,,,0.0,0.0000
23,HCT005_CompactCellBoundary_023,GT Compact cell boundary,,681.0,346.9,165.6,,,,,0.0,0.0000
24,HCT005_CompactCellBoundary_024,GT Compact cell boundary,,2623.0,326.8,192.8,,,,,0.0,0.0000
25,HCT005_CompactCellBoundary_025,GT Compact cell boundary,,317.0,400.4,180.7,,,,,0.0,0.0000
26,HCT005_CompactCellBoundary_026,GT Compact cell boundary,,613.0,446.7,187.0,,,,,0.0,0.0000
27,HCT005_CompactCellBoundary_027,GT Compact cell boundary,,377.0,419.7,191.4,,,,,0.0,0.0000
28,HCT005_CompactCellBoundary_028,GT Compact cell boundary,,1337.0,396.9,210.6,,,,,0.0,0.0000
29,HCT005_CompactCellBoundary_029,GT Compact cell boundary,,1055.0,357.8,210.0,,,,,0.0,0.0000
30,HCT005_CompactCellBoundary_030,GT Compact cell boundary,,426.0,382.5,233.6,,,,,0.0,0.0000
31,HCT005_CompactCellBoundary_031,GT Compact cell boundary,,1143.0,368.8,249.4,,,,,0.0,0.0000
32,HCT005_CompactCellBoundary_032,GT Compact cell boundary,,369.0,401.5,250.6,,,,,0.0,0.0000
33,HCT005_CompactCellBoundary_033,GT Compact cell boundary,,2394.0,438.9,288.5,,,,,0.0,0.0000
34,HCT005_CompactCellBoundary_034,GT Compact cell boundary,,1499.0,367.8,282.7,,,,,0.0,0.0000
35,HCT005_CompactCellBoundary_035,GT Compact cell boundary,,642.0,336.1,303.5,,,,,0.0,0.0000
