tile_id,tile_name,image_file,mask_file,width,height,trainable_instances,clear_trainable,compact_trainable,edge_or_invalid_boundary_ignore,uncertain_ignore_regions,nuclei_total,nuclei_in_tile,stroma_regions_intersecting_tile
"p2_tile_01","P2 tile 01","train/images/p2_tile_01.png","train/masks/p2_tile_01.png","513","512","19","19","0","0","6","20","19","6"
"p2_tile_02","P2 tile 02","train/images/p2_tile_02.png","train/masks/p2_tile_02.png","512","512","18","16","2","0","11","18","18","5"
"p2_tile_03","P2 tile 03","train/images/p2_tile_03.png","train/masks/p2_tile_03.png","512","512","25","25","0","1","11","27","25","5"
"p2_tile_04","P2 tile 04","train/images/p2_tile_04.png","train/masks/p2_tile_04.png","512","512","13","13","0","3","10","25","22","6"
"p2_tile_05","P2 tile 05","train/images/p2_tile_05.png","train/masks/p2_tile_05.png","512","512","19","19","0","3","10","26","22","7"
"p2_tile_06","P2 tile 06","train/images/p2_tile_06.png","train/masks/p2_tile_06.png","512","512","16","16","0","2","16","20","17","4"
"p2_tile_07","P2 tile 07","train/images/p2_tile_07.png","train/masks/p2_tile_07.png","512","518","21","19","2","1","15","21","21","5"
"p2_tile_08","P2 tile 08","train/images/p2_tile_08.png","train/masks/p2_tile_08.png","512","512","14","14","0","4","15","22","17","4"
"p2_tile_09","P2 tile 09","train/images/p2_tile_09.png","train/masks/p2_tile_09.png","512","512","16","16","0","2","19","30","24","4"
"p2_tile_10","P2 tile 10","train/images/p2_tile_10.png","train/masks/p2_tile_10.png","512","512","20","20","0","2","17","25","20","6"
"p2_tile_11","P2 tile 11","train/images/p2_tile_11.png","train/masks/p2_tile_11.png","512","512","21","19","2","0","25","39","36","6"
"p2_tile_12","P2 tile 12","train/images/p2_tile_12.png","train/masks/p2_tile_12.png","512","512","48","24","24","2","11","61","54","3"
"p2_tile_13","P2 tile 13","train/images/p2_tile_13.png","train/masks/p2_tile_13.png","512","512","33","29","4","7","9","42","35","7"
"p2_tile_14","P2 tile 14","train/images/p2_tile_14.png","train/masks/p2_tile_14.png","512","512","35","26","9","11","14","52","37","4"
"p2_tile_15","P2 tile 15","train/images/p2_tile_15.png","train/masks/p2_tile_15.png","512","512","23","17","6","2","8","28","24","6"
"p2_tile_16","P2 tile 16","train/images/p2_tile_16.png","train/masks/p2_tile_16.png","512","512","36","19","17","6","4","46","37","4"
"p2_tile_17","P2 tile 17","train/images/p2_tile_17.png","train/masks/p2_tile_17.png","512","512","18","16","2","7","12","33","20","4"
"p2_tile_18","P2 tile 18","train/images/p2_tile_18.png","train/masks/p2_tile_18.png","512","512","22","14","8","3","8","31","24","6"
"p2_tile_19","P2 tile 19","train/images/p2_tile_19.png","train/masks/p2_tile_19.png","512","512","23","22","1","0","13","25","23","8"
"p2_tile_20","P2 tile 20","train/images/p2_tile_20.png","train/masks/p2_tile_20.png","512","512","18","17","1","3","13","26","20","3"
"yolo_tile_21","yolo_tile_21","train/images/yolo_tile_21.png","train/masks/yolo_tile_21.png","512","512","38","19","19","2","1","40","38","3"
"yolo_tile_22","yolo_tile_22","train/images/yolo_tile_22.png","train/masks/yolo_tile_22.png","513","512","18","9","9","5","3","24","22","1"
"yolo_tile_23","yolo_tile_23","train/images/yolo_tile_23.png","train/masks/yolo_tile_23.png","512","512","22","12","10","1","9","27","25","3"
"yolo_tile_24","yolo_tile_24","train/images/yolo_tile_24.png","train/masks/yolo_tile_24.png","512","512","23","22","1","1","11","28","27","3"
"yolo_tile_25","yolo_tile_25","train/images/yolo_tile_25.png","train/masks/yolo_tile_25.png","512","512","19","17","2","0","15","25","25","2"
"yolo_tile_26","yolo_tile_26","train/images/yolo_tile_26.png","train/masks/yolo_tile_26.png","512","512","16","16","0","3","9","19","17","1"
"yolo_tile_27","yolo_tile_27","train/images/yolo_tile_27.png","train/masks/yolo_tile_27.png","512","512","19","19","0","0","12","25","22","2"
"yolo_tile_28","yolo_tile_28","train/images/yolo_tile_28.png","train/masks/yolo_tile_28.png","512","512","13","12","1","0","19","23","20","2"
"yolo_tile_29","yolo_tile_29","train/images/yolo_tile_29.png","train/masks/yolo_tile_29.png","512","512","15","14","1","3","11","20","17","4"
"yolo_tile_30","yolo_tile_30","train/images/yolo_tile_30.png","train/masks/yolo_tile_30.png","512","512","16","16","0","0","12","19","17","4"
"yolo_tile_31","yolo_tile_31","train/images/yolo_tile_31.png","train/masks/yolo_tile_31.png","512","512","21","21","0","0","6","21","21","1"
"yolo_tile_32","yolo_tile_32","train/images/yolo_tile_32.png","train/masks/yolo_tile_32.png","512","512","23","23","0","0","16","25","24","3"
"yolo_tile_33","yolo_tile_33","train/images/yolo_tile_33.png","train/masks/yolo_tile_33.png","512","512","20","20","0","0","21","23","21","3"
"yolo_tile_34","yolo_tile_34","train/images/yolo_tile_34.png","train/masks/yolo_tile_34.png","512","512","17","17","0","0","21","17","17","2"
"yolo_tile_35","yolo_tile_35","train/images/yolo_tile_35.png","train/masks/yolo_tile_35.png","512","512","6","5","1","0","15","7","6","2"
