instance_label,boundary_name,boundary_class,nucleus_name,boundary_area_px,local_centroid_x,local_centroid_y,wsi_centroid_x,wsi_centroid_y,nucleus_wsi_x,nucleus_wsi_y,stroma_overlap_px,stroma_overlap_fraction
"1","T18_ClearCellBoundary_002","GT Clear cell boundary","T18_Nucleus_003","3066.5","142.2","47.5","37164.2","44714.5","37175.0","44702.5","0.0","0.0000"
"2","T18_ClearCellBoundary_003","GT Clear cell boundary","T18_Nucleus_002","4196.0","31.3","48.2","37053.3","44715.2","37027.0","44698.5","0.0","0.0000"
"3","T18_ClearCellBoundary_004","GT Clear cell boundary","T18_Nucleus_004","1906.5","176.4","100.8","37198.4","44767.8","37214.0","44768.5","0.0","0.0000"
"4","T18_ClearCellBoundary_005","GT Clear cell boundary","T18_Nucleus_005","1608.5","151.9","124.2","37173.9","44791.2","37184.0","44790.5","0.0","0.0000"
"5","T18_ClearCellBoundary_006","GT Clear cell boundary","T18_Nucleus_006","10034.6","22.2","130.7","37044.2","44797.7","37056.5","44809.0","0.0","0.0000"
"6","T18_ClearCellBoundary_007","GT Clear cell boundary","T18_Nucleus_007","2154.5","145.9","158.7","37167.9","44825.7","37190.0","44823.5","0.0","0.0000"
"7","T18_ClearCellBoundary_008","GT Clear cell boundary","T18_Nucleus_008","8033.0","388.2","175.8","37410.2","44842.8","37442.0","44838.0","0.0","0.0000"
"8","T18_ClearCellBoundary_009","GT Clear cell boundary","T18_Nucleus_009","2927.0","143.1","197.7","37165.1","44864.7","37191.5","44855.5","0.0","0.0000"
"9","T18_CompactCellBoundary_001","GT Compact cell boundary","T18_Nucleus_010","1882.0","259.4","223.0","37281.4","44890.0","37276.0","44887.0","0.0","0.0000"
"10","T18_ClearCellBoundary_010","GT Clear cell boundary","T18_Nucleus_012","3233.5","423.4","234.7","37445.4","44901.7","37456.5","44907.0","0.0","0.0000"
"11","T18_ClearCellBoundary_011","GT Clear cell boundary","T18_Nucleus_015","5140.8","171.9","247.2","37193.9","44914.2","37199.5","44942.5","0.0","0.0000"
"12","T18_ClearCellBoundary_013","GT Clear cell boundary","T18_Nucleus_013","7981.3","276.6","274.0","37298.6","44941.0","37273.0","44927.5","0.0","0.0000"
"13","T18_ClearCellBoundary_014","GT Clear cell boundary","T18_Nucleus_016","6718.5","208.1","323.4","37230.1","44990.4","37212.0","44987.0","0.0","0.0000"
"14","T18_ClearCellBoundary_015","GT Clear cell boundary","T18_Nucleus_017","11236.0","427.2","357.8","37449.2","45024.8","37436.5","45046.0","0.0","0.0000"
"15","T18_CompactCellBoundary_002","GT Compact cell boundary","T18_Nucleus_018","1053.5","474.7","398.5","37496.7","45065.5","37492.0","45067.5","0.0","0.0000"
"16","T18_CompactCellBoundary_003","GT Compact cell boundary","T18_Nucleus_021","4033.5","295.1","433.2","37317.1","45100.2","37315.0","45102.5","0.0","0.0000"
"17","T18_CompactCellBoundary_004","GT Compact cell boundary","T18_Nucleus_022","2421.0","227.6","442.8","37249.6","45109.8","37237.5","45109.0","0.0","0.0000"
"18","T18_ClearCellBoundary_016","GT Clear cell boundary","T18_Nucleus_020","9653.2","74.9","456.6","37096.9","45123.6","37084.5","45093.0","28.0","0.0029"
"19","T18_CompactCellBoundary_005","GT Compact cell boundary","T18_Nucleus_023","796.5","201.1","465.9","37223.1","45132.9","37224.0","45138.5","0.0","0.0000"
"20","T18_CompactCellBoundary_006","GT Compact cell boundary","T18_Nucleus_024","1509.5","351.4","473.5","37373.4","45140.5","37371.0","45142.0","0.0","0.0000"
"21","T18_CompactCellBoundary_007","GT Compact cell boundary","T18_Nucleus_025","1859.5","382.9","482.9","37404.9","45149.9","37404.0","45161.5","0.0","0.0000"
"22","T18_CompactCellBoundary_008","GT Compact cell boundary","T18_Nucleus_026","1806.5","304.9","498.3","37326.9","45165.3","37331.5","45167.0","0.0","0.0000"
