tile_id,split,nucleus,clear_cell_boundary,compact_cell_boundary,stroma,total
p2_tile_01,train,19,19,0,5,43
p2_tile_02,train,18,16,2,5,41
p2_tile_03,train,25,25,0,4,54
p2_tile_04,train,22,13,0,6,41
p2_tile_05,val,22,19,0,6,47
p2_tile_06,train,17,16,0,4,37
p2_tile_07,train,21,19,2,5,47
p2_tile_08,train,17,14,0,5,36
p2_tile_09,train,24,16,0,4,44
p2_tile_10,val,20,20,0,6,46
p2_tile_11,train,36,19,2,5,62
p2_tile_12,train,54,24,24,3,105
p2_tile_13,train,35,29,4,4,72
p2_tile_14,train,37,26,9,4,76
p2_tile_15,val,24,17,6,6,53
p2_tile_16,train,37,19,17,3,76
p2_tile_17,train,20,16,2,4,42
p2_tile_18,train,24,14,8,5,51
p2_tile_19,train,23,22,1,6,52
p2_tile_20,val,20,17,1,3,41
yolo_tile_21,train,38,19,19,3,79
yolo_tile_22,train,22,9,9,1,41
yolo_tile_23,train,25,12,10,3,50
yolo_tile_24,train,27,22,1,3,53
yolo_tile_25,val,25,17,2,2,46
yolo_tile_26,train,17,16,0,2,35
yolo_tile_27,train,22,19,0,2,43
yolo_tile_28,train,19,12,1,2,34
yolo_tile_29,train,17,14,1,3,35
yolo_tile_30,val,17,16,0,4,37
yolo_tile_31,train,21,21,0,1,43
yolo_tile_32,train,23,23,0,2,48
